id,word,age,recommendedGrade,difficulty,pattern,syllableCountHint,gameModes,needsMeaningSentence,sourceNote,dataTier,reviewStatus
sb5x-6-0001,back,6,Grade 1,easy,ck after short vowel,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0002,duck,6,Grade 1,easy,ck after short vowel,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0003,neck,6,Grade 1,easy,ck after short vowel,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0004,rock,6,Grade 1,easy,ck after short vowel,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0005,sock,6,Grade 1,easy,ck after short vowel,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0006,bath,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0007,chin,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0008,chip,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0009,fish,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0010,much,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0011,path,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0012,rich,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0013,ship,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0014,shop,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0015,that,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0016,thin,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0017,this,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0018,when,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0019,whip,6,Grade 1,easy,digraphs sh ch th wh,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0020,buzz,6,Grade 1,easy,double consonant endings,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0021,miss,6,Grade 1,easy,double consonant endings,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0022,off,6,Grade 1,easy,double consonant endings,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0023,well,6,Grade 1,easy,double consonant endings,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0024,bag,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0025,bat,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0026,can,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0027,cat,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0028,dad,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0029,fan,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0030,ham,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0031,hat,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0032,jam,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0033,mad,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
sb5x-6-0034,man,6,Grade 1,easy,short a CVC,1,missingLetter|realBeeChallenge|soundBuilder|wordFamily,True,original_app_safe_word_bank_curated_from_spelling_scope_sequence,core_curated,ready
